hour,EEX2018,EEX2015,EEX2035,Residualload2018,EEX2020
1,28.32,25.02,-3.009788686,11.525,41.88
2,10.07,18.29,-6.856821205,9.507,38.6
3,-4.08,16.04,-12.07101009,7.916,36.55
4,-9.91,14.6,-17.27966869,5.979,32.32
5,-7.41,14.95,-28.01311608,6.048,30.85
6,-12.55,14.5,-22.26660635,5.619,30.14
7,-17.25,10.76,-17.5306626,5.451,30.17
8,-15.07,12.01,-15.73837126,6.305,30
9,-4.93,12.39,-5.246519799,7.55,30.65
10,-6.33,14.04,1.601377195,7.946,30.65
11,-4.93,14.68,6.170321394,6.689,30.27
12,0.45,16.08,16.40298017,6.422,30.34
13,0.12,16.08,26.23563126,8.423,30.99
14,-0.02,16.05,15.8816396,10.745,30.04
15,0,16.04,47.21087327,15.149,30.75
16,-0.03,16.1,43.94569482,19.935,32.11
17,1.97,23.93,24.01808371,26.601,35.98
18,9.06,26.9,49.36581882,31.638,40.4
19,0.07,26.36,61.24867392,33.347,44.05
20,-4.97,23.98,1.996256924,32.493,43.15
21,-6.98,16.09,8.74091665,31.114,43.45
22,-24.93,14.08,15.70172082,30.063,40.68
23,-4.87,12.44,11.14960489,29.912,40.27
24,-28.93,0.04,7.51161088,27.328,34.85
25,-33.57,-12.11,3.478436813,25.421,35.4
26,-45.92,-19.63,4.474248308,23.798,31.98
27,-48.29,-19.37,-2.960916458,23.775,30.5
28,-44.99,-31.41,-6.08924888,24.058,28.79
29,-48.93,-46.97,-15.39137416,24.691,28.42
30,-29.91,-13.48,-25.27777186,27.391,28.75
31,-0.01,0.08,-17.9713312,32.944,34.16
32,37.43,10.06,-12.09895763,39.092,42.07
33,48.06,14.25,-7.718488744,43.208,44.89
34,50.74,14.56,12.52896435,44.781,45.26
35,47.57,14.64,41.93415815,45.8,45.57
36,43.94,15.08,47.18353972,45.538,45.09
37,40.97,15.41,52.98113135,44.684,45.16
38,44.95,14.52,37.59420867,45.116,44.9
39,49.64,14.7,40.81197857,46.6,44.06
40,53.67,14.66,45.10559642,47.771,44.84
41,56.01,16.09,44.88067168,48.891,44.4
42,56.95,25.1,56.35781904,50.085,46.05
43,62.08,25.06,72.48531389,48.103,46.72
44,62.11,19.08,48.96718215,44.648,45.26
45,57.99,14.26,45.76823547,38.762,39.32
46,55.64,12.22,58.95825167,34.073,34.06
47,55.13,10.4,62.21425257,30.593,32.22
48,50.76,-0.33,56.58060327,24.504,24.99
49,42.91,-0.08,48.91975103,19.371,21.47
50,45.22,-0.07,41.61261146,15.822,13.04
51,45.63,-5.03,30.81402486,13.627,1.53
52,44,0.01,26.71362116,11.989,0.14
53,43.88,-0.04,28.40899353,11.78,0.85
54,45.92,0.03,26.39514094,14.637,9.92
55,51.07,-8.67,38.99787336,19.694,24.48
56,52.77,4.46,48.1210657,25.327,26.68
57,62.89,9.9,75.47815479,28.946,28.81
58,60.03,14.29,74.76305716,30.614,29.28
59,58.19,16.73,78.00331054,31.394,28.85
60,62.99,22.31,84.21336749,31.787,31.8
61,63.52,23.03,85.3144862,31.134,37.94
62,64.67,22.4,79.16000429,30.657,37.9
63,65.24,27.07,78.52556538,29.767,38.11
64,67.76,29.33,80.57633243,29.581,37.91
65,68.41,33.85,77.37509201,30.676,38.44
66,69.55,45.96,87.39440058,31.36,40.47
67,67.28,49.82,84.39005397,30.046,41.35
68,69.46,47.62,67.76132362,27.812,33.37
69,68.38,35.98,80.02409197,23.943,28.89
70,61.72,27.26,95.80525811,20.654,27.7
71,53.72,27.7,86.83281064,19.736,25.7
72,49.98,14.27,65.99206616,15.961,22.04
73,50.73,9.32,57.94786984,12.778,22.9
74,47.11,0.02,43.32982656,11.605,15.95
75,47.07,-0.04,35.81488123,11.601,16.63
76,46.94,0.01,23.83451691,13.14,6.45
77,47,0,11.16029298,16.314,3.83
78,46.91,-0.01,7.846475745,21.036,0.12
79,49.59,-3.18,15.60902787,28.13,0.07
80,55.32,-0.05,12.87720573,36.419,19.07
81,55.78,0.05,20.55664994,41.944,17.49
82,55.52,9.62,25.90608242,44.125,23.98
83,55.23,11.54,34.46035267,46.9,8.8
84,53.58,14.68,33.43428576,48.954,17.95
85,51.74,14.31,15.37312403,50.279,19.5
86,51.6,11.18,14.8816948,51.639,13.74
87,51.41,12.01,4.649071996,52.407,17.42
88,51.69,14.36,3.65282003,53.273,20.38
89,52.59,17.55,-8.569479886,53.097,25.08
90,54.66,28.94,-4.893159588,53.116,28.88
91,54.1,29.59,17.53409603,50.648,32.02
92,51.89,29.42,-14.98581098,47.271,35.35
93,46.58,28.92,-16.78425848,42.019,29.98
94,45.43,28.66,7.150823081,36.78,34.46
95,43.96,29.74,18.68306422,33.481,39.75
96,31.41,24.9,-3.078627404,26.13,37.95
97,26.9,22.34,0.478085928,18.382,33.1
98,25.12,17.93,2.96111671,13.892,32.28
99,24.12,15.17,-0.203611062,11.924,31.18
100,22.04,16.38,-8.469387987,11.856,30.1
101,18.37,17.38,-14.55414483,13.665,29.96
102,22.09,16.38,-16.76784476,17.819,29.88
103,23.35,26.61,-21.25241526,23.811,30.38
104,28.76,37.63,-13.59843934,31.298,31.15
105,36.63,39.09,-3.725165423,35.495,32.09
106,40.46,41.51,-1.349778495,37.067,34.27
107,45.85,40.46,-6.354867259,38.211,37.53
108,49.8,40.97,4.859602246,40.551,38.99
109,51.36,40.72,7.594819393,44.509,38.15
110,51.74,41.92,-2.401211898,47.723,35.37
111,51.92,42,0.558405429,50.462,34.44
112,53.22,43.1,6.94475162,52.702,36.1
113,56.62,46.7,-7.053158432,54.741,40.59
114,56.92,56.78,2.592954081,57.22,44.68
115,61.64,58.84,3.878058126,56.49,46.16
116,59.44,49.23,-15.17914656,54.142,44.62
117,52.75,44.32,-18.02704852,50.166,39.5
118,51.9,40,-15.56865821,46.027,35.76
119,51.38,35.08,12.8733178,43.843,36.49
120,49.96,30.03,9.703836335,40.205,30.49
121,50.29,30.02,-7.825504826,36.181,29.16
122,47.72,30.57,-13.18245049,33.276,29
123,48.38,30.25,-17.33770611,31.815,29.08
124,48.02,30.29,-17.85681402,31.698,27.72
125,44.23,30.63,-19.80830415,32.938,27.03
126,47.17,29.64,-21.04001317,33.367,28.98
127,48.19,29.67,-52.03338019,34.843,33.18
128,49.11,38.82,-17.82813216,38.577,43.13
129,50.44,40.76,-15.66047439,41.842,44.52
130,53.4,40.02,-11.79951952,44.511,44.96
131,56.55,33.99,-13.42368028,45.513,44
132,60.02,31.22,-5.856221186,46.907,42.46
133,60.22,30.06,-14.3339943,47.764,41.3
134,55,29.99,-11.26744241,47.995,40.51
135,52.39,30.73,-54.10463356,48.597,41.22
136,51.57,37.38,-11.04674418,50.498,43.28
137,54.71,40.32,-13.39573584,52.3,43.68
138,63.43,45.96,-14.70775673,53.998,47.9
139,67.37,45.71,6.891643081,53.387,48.91
140,67.2,39.57,4.728919934,50.74,45.04
141,66.03,32.92,3.702231192,45.492,40.28
142,55.36,29.15,11.29914143,41.707,33.89
143,58.59,28.46,17.27587078,39.073,33.58
144,53.7,26.97,8.202574963,35.234,32.41
145,46.03,24.97,9.935344247,31.191,30.75
146,47.98,24.65,6.854059829,28.208,31.03
147,47.84,24.68,5.060927772,26.353,29.88
148,46.11,25.06,-1.644720318,26.124,29
149,46.08,26.1,-4.503438929,26.913,29.65
150,47.62,26.95,3.35391161,26.423,31.78
151,55.77,31.43,9.925549782,24.884,40.87
152,68.61,45.98,44.07092015,26.25,49.01
153,74.15,47.91,59.07797972,29.529,51.09
154,74.93,48.91,78.23266697,33.163,51.12
155,73.59,50,81.65284704,35.355,49.83
156,71.23,51.22,81.19098093,38.122,49.16
157,68.79,50.15,89.37577137,37.263,48.43
158,66.75,51.46,71.90731717,36.194,47.99
159,62.47,50.88,75.51241223,35.423,47.41
160,53.25,48,73.49483582,36.128,45.87
161,53.26,47.14,77.7502493,37.549,45.9
162,53.42,51.07,73.99686573,40.909,47.96
163,47.91,47.42,82.18350734,41.72,48.11
164,42.05,44.83,65.26691713,40.113,43.63
165,40.96,33.86,61.59552881,37.956,33.6
166,32.04,27.42,41.40363283,36.13,32.93
167,20.82,27.02,17.14231123,37.138,31.29
168,1.84,22.11,9.495529345,33.694,26.28
169,17.94,21.92,3.075363572,30.845,18.95
170,20.91,19.35,0.673690328,28.946,4.96
