Time,Residualload2023,Residualload2033,Residualload2030
0,25731.18603,14761.95786,17.037
900,25071.11287,13975.98118,16.26025
1800,24371.68869,13150.65347,15.4835
2700,23645.07252,12298.13376,14.70675
3600,22903.42337,11430.58109,13.93
4500,22096.29374,10467.61141,12.55575
5400,21303.64441,9519.12202,11.1815
6300,20542.498,8602.135559,9.80725
7200,19830.3193,7734.116803,8.433
8100,18690.90083,6197.961413,7.378
9000,17609.18246,4719.506118,6.323
9900,16576.54233,3290.129066,5.268
10800,15584.35859,1901.208402,4.213
11700,14690.86987,646.2649662,3.85325
12600,13820.37276,-585.6868606,3.4935
13500,12963.91379,-1803.600542,3.13375
14400,12112.76058,-3016.208467,2.774
15300,11370.76252,-3960.086235,1.84225
16200,10587.53431,-4945.194149,0.9105
17100,9725.493519,-6009.114645,-0.02125
18000,8747.057707,-7189.430161,-0.953
18900,7615.187776,-8523.304881,-2.05325
19800,6441.42448,-9899.072965,-3.1535
20700,5337.962451,-11204.53978,-4.25375
21600,4416.996316,-12327.51071,-5.354
22500,3948.357819,-12883.9492,-5.30625
23400,3683.990924,-13236.1161,-5.2585
24300,3533.476707,-13474.43031,-5.21075
25200,3406.617319,-13689.0897,-5.163
26100,3471.874653,-13706.42463,-5.0815
27000,3522.983303,-13737.90823,-5
27900,3612.448148,-13731.03565,-4.9185
28800,3792.774062,-13633.30199,-4.837
29700,3668.851836,-13986.72479,-4.5315
30600,3651.265801,-14233.81141,-4.226
31500,3702.544057,-14412.03373,-3.9205
32400,3785.656848,-14558.42152,-3.615
33300,4161.467108,-14289.82593,-3.3165
34200,4561.263807,-13997.24391,-3.018
35100,5014.339138,-13651.38325,-2.7195
36000,5550.206368,-13222.73069,-2.421
36900,6514.011811,-12226.76872,-1.8705
37800,7494.287204,-11214.3368,-1.32
38700,8395.197332,-10281.27014,-0.7695
39600,9121.128052,-9523.182889,-0.219
40500,9938.119496,-8506.580352,-0.19575
41400,10539.89622,-7705.192539,-0.1725
42300,10982.27919,-7063.198476,-0.14925
43200,11320.64723,-6525.219336,-0.126
44100,11458.22258,-6209.545453,0.03475
45000,11565.28983,-5924.379666,0.1955
45900,11659.53484,-5652.036123,0.35625
46800,11758.86453,-5374.607897,0.517
47700,12774.79197,-3788.432949,1.87925
48600,13810.17384,-2182.803563,3.2415
49500,14861.36245,-561.3674459,4.60375
50400,15925.15223,1072.669842,5.966
51300,16185.93361,1433.942626,6.78575
52200,16503.42025,1851.920676,7.6055
53100,16925.25342,2374.245259,8.42525
54000,17498.85332,3048.336569,9.245
54900,18314.29531,4045.566822,11.8065
55800,19324.6133,5237.673068,14.368
56700,20525.16474,6620.012771,16.9295
57600,21911.3071,8187.943393,19.491
58500,22992.4317,9284.456632,21.471
59400,24130.48264,10437.89621,23.451
60300,25201.65895,11524.46116,25.431
61200,26081.71751,12419.90835,27.411
62100,26326.82012,12598.95284,28.43275
63000,26305.3085,12511.38309,29.4545
63900,26065.7082,12205.72466,30.47625
64800,25656.32372,11730.28205,31.498
65700,25107.03416,11248.89424,31.591
66600,24433.61202,10643.37385,31.684
67500,23632.7412,9910.404781,31.777
68400,22701.54776,9047.113083,31.87
69300,21830.42388,8234.476,31.5045
70200,20887.89337,7350.432285,31.139
71100,19935.96725,6456.99296,30.7735
72000,19036.65655,5616.169049,30.408
72900,17500.88379,3715.969747,30.60975
73800,16081.9482,1932.607612,30.8115
74700,14781.7289,267.9617651,31.01325
75600,13602.54716,-1275.646525,31.215
76500,12928.59495,-2191.51098,31.649
77400,12238.836,-3123.182166,32.083
78300,11394.32585,-4209.604565,32.517
79200,10256.34106,-5589.501588,32.951
80100,8566.831564,-7800.403632,32.6235
81000,6583.405295,-10305.22245,32.296
81900,4444.564592,-12965.45569,31.9685
82800,2288.811792,-15642.60104,31.641
83700,173.8602601,-18330.53812,30.942
84600,-1827.680739,-20905.06466,30.243
85500,-3723.880377,-23374.24985,29.544
86400,-5522.807823,-25746.16284,28.845
87300,-6310.421359,-26572.89852,28.247
88200,-6995.014801,-27296.61411,27.649
89100,-7562.439468,-27903.16093,27.051
90000,-7998.767749,-28378.61135,26.453
90900,-8112.639566,-28497.03213,26.4405
91800,-8102.710411,-28491.65194,26.428
92700,-7990.424383,-28383.91487,26.4155
93600,-7797.225577,-28195.26502,26.403
94500,-7587.919975,-28004.09168,25.9935
95400,-7310.634375,-27744.93834,25.584
96300,-6957.299608,-27409.73584,25.1745
97200,-6519.404356,-26989.97284,24.765
98100,-5225.118225,-25356.65023,24.66525
99000,-3817.532099,-23610.02761,24.5655
99900,-2275.975637,-21729.43466,24.46575
100800,-579.9995704,-19694.4221,24.366
101700,1743.161557,-16716.06223,24.3135
102600,4240.08619,-13563.93886,24.261
103500,6909.558426,-10239.26788,24.2085
104400,9750.14129,-6743.486271,24.156
105300,12188.84346,-3875.865383,23.798
106200,14781.52309,-854.2670378,23.44
107100,17512.48399,2305.612571,23.082
108000,20365.80888,5587.856175,22.724
108900,22574.81037,7758.724718,23.15925
109800,24794.75499,9940.536382,23.5945
110700,26930.13913,12037.78756,24.02975
111600,28885.45917,13954.97465,24.465
112500,31120.25683,16385.24657,25.1605
113400,33105.68397,18566.14796,25.856
114300,34867.93775,20523.87599,26.5515
115200,36433.21534,22284.62784,27.247
116100,37486.75924,23589.34572,28.23575
117000,38432.97212,24786.73258,29.2245
117900,39335.19145,25940.12589,30.21325
118800,40256.97575,27113.08417,31.202
119700,40667.51817,27574.52727,30.30975
120600,41119.40127,28077.31105,29.4175
121500,41571.50545,28580.3159,28.52525
122400,41982.26894,29041.98008,27.633
123300,42178.65294,29306.65557,27.829
124200,42291.47128,29487.7654,28.025
125100,42319.72913,29584.31475,28.221
126000,42262.43167,29595.30879,28.417
126900,41883.00606,28952.17355,27.9965
127800,41414.81958,28220.27742,27.576
128700,40855.88256,27397.63077,27.1555
129600,40203.98428,26482.02285,26.735
130500,39479.42623,25631.11566,25.7525
131400,38681.02974,24706.37004,24.77
132300,37830.12837,23729.11954,23.7875
133200,36948.05569,22720.69773,22.805
134100,36491.37007,22181.84248,22.9215
135000,36037.00573,21645.30849,23.038
135900,35597.01113,21123.14426,23.1545
136800,35183.65586,20627.61934,23.271
137700,35112.6233,20540.79197,23.672
138600,35094.53777,20506.91161,24.073
139500,35143.54795,20540.12696,24.474
140400,35273.80251,20654.58669,24.875
141300,37110.87095,22846.89907,28.27875
142200,39076.93559,25168.20765,31.6825
143100,41205.489,27652.005,35.08625
144000,43530.02377,30331.7837,38.49
144900,44670.25489,31568.71181,40.23375
145800,45882.77693,32877.93085,41.9775
146700,47010.40688,34102.2578,43.72125
147600,47895.74064,35084.28855,45.465
148500,47412.7211,34282.0522,45.73625
149400,46646.61738,33196.73167,46.0075
150300,45713.60343,31944.5009,46.27875
151200,44730.29532,30641.97598,46.55
152100,44156.67491,29863.58905,46.647
153000,43544.69831,29046.84592,46.744
153900,42790.24005,28087.62114,46.841
154800,41789.17468,26881.78924,46.938
155700,41067.79445,26185.70335,46.46025
156600,40137.83169,25281.03492,45.9825
157500,39141.65751,24310.15508,45.50475
158400,38221.64305,23415.43495,45.027
159300,37235.47494,22429.2944,44.80575
160200,36447.16732,21641.01433,44.5845
161100,35836.38145,21030.256,44.36325
162000,35382.33645,20576.23855,44.142
162900,34835.16298,19804.67954,44.58075
163800,34283.23645,19028.36745,45.0195
164700,33585.18056,18105.926,45.45825
165600,32600.06116,16896.42105,45.897
166500,31466.50134,15751.42846,45.54225
167400,30087.10817,14360.60252,45.1875
168300,28644.48807,12906.54966,44.83275
169200,27321.02641,11571.65523,44.478
170100,25825.48696,9935.769085,43.834
171000,24546.70975,8516.645176,43.19
171900,23399.69215,7229.280872,42.546
172800,22299.43152,5988.673541,41.902
173700,21145.96678,4680.763098,41.49
174600,20007.64554,3387.996166,41.078
175500,18938.29914,2164.204061,40.666
176400,17991.09565,1062.554878,40.254
177300,17142.5721,43.80358518,39.88975
178200,16440.84112,-828.1551278,39.5255
179100,15856.94213,-1582.281845,39.16125
180000,15362.13563,-2247.316078,38.797
180900,14681.91864,-3174.862629,38.64425
181800,14053.43277,-4050.678061,38.4915
182700,13468.71939,-4882.721006,38.33875
183600,12919.37771,-5679.392245,38.186
184500,12540.54583,-6253.177364,38.45475
185400,12198.41209,-6790.264337,38.7235
186300,11902.26157,-7281.368093,38.99225
187200,11661.37934,-7717.203559,39.261
188100,11361.22803,-8272.583369,40.098
189000,11165.64433,-8723.395574,40.935
189900,11114.20033,-9030.068077,41.772
