hour;user [W/m^2];appliances [W/m^2];workday_user;workday_appliances;weekend_user;weekend_appliances
0;11.8;12;0;0;0;0
1;11.8;12;0;0;0;0
2;11.8;12;0;0;0;0
3;11.8;12;0;0;0;0
4;11.8;12;0;0;0;0
5;11.8;12;0;0;0;0
6;11.8;12;0;0;0;0
7;11.8;12;0.2;0.2;0;0
8;11.8;12;0.6;0.6;0;0
9;11.8;12;0.6;0.6;0;0
10;11.8;12;0.7;0.7;0;0
11;11.8;12;0.7;0.7;0;0
12;11.8;12;0.4;0.4;0;0
13;11.8;12;0.6;0.6;0;0
14;11.8;12;0.7;0.7;0;0
15;11.8;12;0.7;0.7;0;0
16;11.8;12;0.6;0.6;0;0
17;11.8;12;0.2;0.2;0;0
18;11.8;12;0;0;0;0
19;11.8;12;0;0;0;0
20;11.8;12;0;0;0;0
21;11.8;12;0;0;0;0
22;11.8;12;0;0;0;0
23;11.8;12;0;0;0;0
