hour;user [W/m^2];appliances [W/m^2];workday_user;workday_appliances;weekend_user;weekend_appliances
0;4.2;3;1;0.5;1;0.5
1;4.2;3;1;0.5;1;0.5
2;4.2;3;1;0.5;1;0.5
3;4.2;3;1;0.5;1;0.5
4;4.2;3;1;0.5;1;0.5
5;4.2;3;1;0.5;1;0.5
6;4.2;3;0.5;0.5;0.8;0.5
7;4.2;3;0.5;0.7;0.8;0.7
8;4.2;3;0.5;0.7;0.8;0.7
9;4.2;3;0.1;0.5;0.8;0.5
10;4.2;3;0.1;0.5;0.8;0.5
11;4.2;3;0.1;0.6;0.8;0.6
12;4.2;3;0.1;0.6;0.8;0.6
13;4.2;3;0.2;0.6;0.8;0.6
14;4.2;3;0.2;0.6;0.8;0.6
15;4.2;3;0.2;0.5;0.8;0.5
16;4.2;3;0.5;0.5;0.8;0.5
17;4.2;3;0.5;0.7;0.8;0.7
18;4.2;3;0.5;0.7;0.8;0.7
19;4.2;3;0.8;0.8;0.8;0.8
20;4.2;3;0.8;0.8;0.8;0.8
21;4.2;3;0.8;0.8;0.8;0.8
22;4.2;3;1;0.6;1;0.6
23;4.2;3;1;0.6;1;0.6
