hour;user [W/m^2];appliances [W/m^2];workday_user;workday_appliances;weekend_user;weekend_appliances
0;21.7;8;0;0;0;0
1;21.7;8;0;0;0;0
2;21.7;8;0;0;0;0
3;21.7;8;0;0;0;0
4;21.7;8;0;0;0;0
5;21.7;8;0;0;0;0
6;21.7;8;0;0;0;0
7;21.7;8;0;0;0;0
8;21.7;8;0.6;0.6;0;0
9;21.7;8;0.7;0.7;0;0
10;21.7;8;0.6;0.6;0;0
11;21.7;8;0.4;0.4;0;0
12;21.7;8;0.3;0.3;0;0
13;21.7;8;0.7;0.7;0;0
14;21.7;8;0.6;0.6;0;0
15;21.7;8;0.4;0.4;0;0
16;21.7;8;0.2;0.2;0;0
17;21.7;8;0;0;0;0
18;21.7;8;0;0;0;0
19;21.7;8;0;0;0;0
20;21.7;8;0;0;0;0
21;21.7;8;0;0;0;0
22;21.7;8;0;0;0;0
23;21.7;8;0;0;0;0
