Koordinatensystem : Lambert konform konisch
Rechtswert        : 3835500 Meter
Hochwert          : 2375500 Meter
Hoehenlage        : 207 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
3835500 2375500  1  1  1   1.3 1000 252  1.3 8  4.1  94    0    0 317 -327  2
3835500 2375500  1  1  2   1.9 1000 237  1.3 8  4.2  93    0    0 318 -328  2
3835500 2375500  1  1  3   2.4 1000 221  1.2 8  4.2  92    0    0 317 -329  2
3835500 2375500  1  1  4   2.4 1000 215  1.2 8  4.2  92    0    0 317 -329  2
3835500 2375500  1  1  5   2.5 1000 211  1.3 8  4.2  92    0    0 318 -329  2
3835500 2375500  1  1  6   2.9 1001 208  1.1 8  4.3  91    0    0 319 -329  2
3835500 2375500  1  1  7   3.0 1001 218  2.1 8  4.3  90    0    0 321 -330  2
3835500 2375500  1  1  8   2.8 1001 211  1.8 8  4.3  91    0    0 321 -331  2
3835500 2375500  1  1  9   2.9 1001 222  1.6 8  4.3  92    0    7 321 -331  2
3835500 2375500  1  1 10   3.6 1001 192  2.4 6  4.4  92    0   39 309 -331  2
3835500 2375500  1  1 11   4.6 1001 207  2.1 6  4.6  89    0   46 298 -332  2
3835500 2375500  1  1 12   5.5 1002 200  1.8 6  4.8  87    0   60 301 -333  2
3835500 2375500  1  1 13   5.9 1002 227  3.0 6  4.9  85    0   77 303 -335  2
3835500 2375500  1  1 14   5.7 1002 214  2.9 6  4.9  84    0   76 302 -336  2
3835500 2375500  1  1 15   6.0 1001 203  2.7 7  4.9  84    0   45 308 -336  2
3835500 2375500  1  1 16   6.2 1001 197  3.7 8  4.9  83    0   38 322 -336  2
3835500 2375500  1  1 17   5.3 1002 205  3.3 8  5.0  86    0    8 329 -337  2
3835500 2375500  1  1 18   5.4 1002 205  2.9 7  5.0  88    0    0 323 -337  2
3835500 2375500  1  1 19   5.1 1002 216  2.8 7  4.9  88    0    0 317 -337  2
3835500 2375500  1  1 20   5.0 1002 199  2.4 7  5.0  90    0    0 317 -337  2
