time,T_amb,Dew_point,Relative_humidity_percent,Atmostorheric_station_pressure_Pa,Extraterrestrial_horizontal_radiation_Wh/m2,Extraterrestrial_direct_normal_radiation_Wh/m2,Horizontal_infrared_radiation_intensity_Wh/m2,Global_horizontal_radiation_Wh/m2,Direct_normal_radiation_Wh/m2,Diffuse_horizontal_radiation_Wh/m2,Av_global_horizontal_illuminance_lux,Direct_normal_illuminance_lux,Diffuse_horizontal_illuminance_lux,Zenith_luminance_Cd/m2_during_minutes_preceding_indicated_time,Wind_direction,Wind_storeed_m/s,Total_sky_cover,Opaque_sky_cover,Visibility_km,Ceiling_height_m,Present_weather_observation,Present_weather_codes,Precipitable_water_mm,Aerosol_optical_depth,Snow_depth_cm,Days_since_last_snowfall,Albedo,Liquid_precipitation_depth_mm,Liquid_precipitation_quantity
0,0.8,-0.1,93,100600,0,1415,290,0,0,0,0,0,0,0,200,2.1,10,10,2,150,0,999999099,0,0.08,0,88,0,0,0
900,0.8,-0.1,93,100600,0,1415,290,0,0,0,0,0,0,0,200,2.1,10,10,2,150,0,999999099,0,0.08,0,88,0,0,0
1800,0.8,-0.1,93,100600,0,1415,290,0,0,0,0,0,0,0,200,2.1,10,10,2,150,0,999999099,0,0.08,0,88,0,0,0
2700,0.8,-0.1,93,100600,0,1415,290,0,0,0,0,0,0,0,200,2.1,10,10,2,150,0,999999099,0,0.08,0,88,0,0,0
3600,0.8,-0.1,93,100600,0,1415,290,0,0,0,0,0,0,0,200,2.1,10,10,2,150,0,999999099,0,0.08,0,88,0,0,0
4500,0.8,-0.1,93,100600,0,1415,290,0,0,0,0,0,0,0,200,2.1,10,10,2,150,0,999999099,0,0.08,0,88,0,0,0
5400,0.8,-0.1,93,100600,0,1415,290,0,0,0,0,0,0,0,200,2.1,10,10,2,150,0,999999099,0,0.08,0,88,0,0,0
6300,0.8,-0.1,93,100600,0,1415,290,0,0,0,0,0,0,0,200,2.1,10,10,2,150,0,999999099,0,0.08,0,88,0,0,0
7200,-0.3,-1.3,92,100800,0,1415,284,0,0,0,0,0,0,0,150,2.6,10,10,2.5,180,0,999999099,0,0.08,0,88,0,0,0
8100,-0.3,-1.3,92,100800,0,1415,284,0,0,0,0,0,0,0,150,2.6,10,10,2.5,180,0,999999099,0,0.08,0,88,0,0,0
9000,-0.3,-1.3,92,100800,0,1415,284,0,0,0,0,0,0,0,150,2.6,10,10,2.5,180,0,999999099,0,0.08,0,88,0,0,0
9900,-0.3,-1.3,92,100800,0,1415,284,0,0,0,0,0,0,0,150,2.6,10,10,2.5,180,0,999999099,0,0.08,0,88,0,0,0
10800,-1.1,-2.2,92,100900,0,1415,280,0,0,0,0,0,0,0,180,2.1,10,10,2.5,180,0,999999099,0,0.08,0,88,0,0,0
11700,-1.1,-2.2,92,100900,0,1415,280,0,0,0,0,0,0,0,180,2.1,10,10,2.5,180,0,999999099,0,0.08,0,88,0,0,0
12600,-1.1,-2.2,92,100900,0,1415,280,0,0,0,0,0,0,0,180,2.1,10,10,2.5,180,0,999999099,0,0.08,0,88,0,0,0
13500,-1.1,-2.2,92,100900,0,1415,280,0,0,0,0,0,0,0,180,2.1,10,10,2.5,180,0,999999099,0,0.08,0,88,0,0,0
14400,-1.5,-2.6,91,100900,0,1415,278,0,0,0,0,0,0,0,190,2.1,10,10,3,180,0,999999099,0,0.08,0,88,0,0,0
15300,-1.5,-2.6,91,100900,0,1415,278,0,0,0,0,0,0,0,190,2.1,10,10,3,180,0,999999099,0,0.08,0,88,0,0,0
16200,-1.5,-2.6,91,100900,0,1415,278,0,0,0,0,0,0,0,190,2.1,10,10,3,180,0,999999099,0,0.08,0,88,0,0,0
17100,-1.5,-2.6,91,100900,0,1415,278,0,0,0,0,0,0,0,190,2.1,10,10,3,180,0,999999099,0,0.08,0,88,0,0,0
18000,-1.8,-2.8,92,100900,0,1415,276,0,0,0,0,0,0,0,220,2.1,10,10,3,180,0,999999099,0,0.08,0,88,0,0,0
18900,-1.8,-2.8,92,100900,0,1415,276,0,0,0,0,0,0,0,220,2.1,10,10,3,180,0,999999099,0,0.08,0,88,0,0,0
19800,-1.8,-2.8,92,100900,0,1415,276,0,0,0,0,0,0,0,220,2.1,10,10,3,180,0,999999099,0,0.08,0,88,0,0,0
20700,-1.8,-2.8,92,100900,0,1415,276,0,0,0,0,0,0,0,220,2.1,10,10,3,180,0,999999099,0,0.08,0,88,0,0,0
21600,-2,-3,92,100900,0,1415,275,0,0,0,0,0,0,0,190,2.6,10,10,3,180,0,999999099,0,0.08,0,88,0,0,0
22500,-2,-3,92,100900,0,1415,275,0,0,0,0,0,0,0,190,2.6,10,10,3,180,0,999999099,0,0.08,0,88,0,0,0
23400,-2,-3,92,100900,0,1415,275,0,0,0,0,0,0,0,190,2.6,10,10,3,180,0,999999099,0,0.08,0,88,0,0,0
24300,-2,-3,92,100900,0,1415,275,0,0,0,0,0,0,0,190,2.6,10,10,3,180,0,999999099,0,0.08,0,88,0,0,0
25200,-1.9,-2.7,94,100900,0,1415,276,0,0,0,0,0,0,0,180,3.1,10,10,2.2,150,0,999999099,0,0.08,0,88,0,0,0
26100,-1.9,-2.7,94,100900,0,1415,276,0,0,0,0,0,0,0,180,3.1,10,10,2.2,150,0,999999099,0,0.08,0,88,0,0,0
27000,-1.9,-2.7,94,100900,0,1415,276,0,0,0,0,0,0,0,180,3.1,10,10,2.2,150,0,999999099,0,0.08,0,88,0,0,0
27900,-1.9,-2.7,94,100900,0,1415,276,0,0,0,0,0,0,0,180,3.1,10,10,2.2,150,0,999999099,0,0.08,0,88,0,0,0
28800,-1.9,-2.4,96,100900,0,1415,276,0,0,0,0,0,0,0,220,2.1,10,10,2,120,0,999999099,0,0.08,0,88,0,0,0
29700,-1.9,-2.4,96,100900,0,1415,276,0,0,0,0,0,0,0,220,2.1,10,10,2,120,0,999999099,0,0.08,0,88,0,0,0
30600,-1.9,-2.4,96,100900,0,1415,276,0,0,0,0,0,0,0,220,2.1,10,10,2,120,0,999999099,0,0.08,0,88,0,0,0
31500,-1.9,-2.4,96,100900,0,1415,276,0,0,0,0,0,0,0,220,2.1,10,10,2,120,0,999999099,0,0.08,0,88,0,0,0
32400,-2.2,-2.8,95,100900,26,1415,275,2,0,2,300,0,300,90,200,3.1,10,10,2,150,0,999999099,0,0.08,0,88,0,0,0
33300,-2.2,-2.8,95,100900,26,1415,275,2,0,2,300,0,300,90,200,3.1,10,10,2,150,0,999999099,0,0.08,0,88,0,0,0
34200,-2.2,-2.8,95,100900,26,1415,275,2,0,2,300,0,300,90,200,3.1,10,10,2,150,0,999999099,0,0.08,0,88,0,0,0
35100,-2.2,-2.8,95,100900,26,1415,275,2,0,2,300,0,300,90,200,3.1,10,10,2,150,0,999999099,0,0.08,0,88,0,0,0
36000,-1.9,-2.4,96,101000,178,1415,276,21,0,21,2500,0,2500,820,240,2.1,10,10,2,150,0,999999099,0,0.08,0,88,0,0,0
36900,-1.9,-2.4,96,101000,178,1415,276,21,0,21,2500,0,2500,820,240,2.1,10,10,2,150,0,999999099,0,0.08,0,88,0,0,0
37800,-1.9,-2.4,96,101000,178,1415,276,21,0,21,2500,0,2500,820,240,2.1,10,10,2,150,0,999999099,0,0.08,0,88,0,0,0
38700,-1.9,-2.4,96,101000,178,1415,276,21,0,21,2500,0,2500,820,240,2.1,10,10,2,150,0,999999099,0,0.08,0,88,0,0,0
39600,-2,-2.5,96,101000,311,1415,276,49,0,49,5600,0,5600,1900,210,2.6,10,10,2,150,0,999999099,0,0.08,0,88,0,0,0
40500,-2,-2.5,96,101000,311,1415,276,49,0,49,5600,0,5600,1900,210,2.6,10,10,2,150,0,999999099,0,0.08,0,88,0,0,0
